vendorid,pickup_datetime,dropoff_datetime,Store_and_fwd_flag,rate_code,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Improvement_surcharge,Total_amount,Payment_type,Trip_type
2,08/07/2015 07:36:43 AM,08/07/2015 08:03:55 AM,N,1,-73.9377670288086,40.84831619262695,-74.00525665283203,40.7292366027832,1,9.69,30.0,0.0,0.5,0.0,0.0,,0.3,30.8,1,1.0
2,04/25/2015 08:42:27 AM,04/25/2015 08:51:26 AM,N,1,-73.91114807128906,40.77654647827149,-73.88032531738281,40.76803588867188,1,3.39,12.0,0.0,0.5,0.0,0.0,,0.3,12.8,2,1.0
2,07/03/2015 09:25:15 PM,07/03/2015 09:28:30 PM,N,1,-73.9072036743164,40.77038192749024,-73.91600799560547,40.772830963134766,1,0.65,4.5,0.5,0.5,1.74,0.0,,0.3,7.54,1,1.0
1,07/08/2015 03:51:30 PM,07/08/2015 03:57:23 PM,N,1,-73.9420394897461,40.8127555847168,-73.93704223632812,40.80507659912109,1,0.8,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,2,1.0
2,03/19/2015 06:39:56 PM,03/19/2015 06:45:47 PM,N,1,-74.00922393798828,40.64614868164063,-74.00908660888672,40.63597869873047,1,0.97,4.5,1.0,0.5,0.0,0.0,,0.3,6.3,2,1.0
2,06/21/2015 12:18:38 AM,06/21/2015 12:32:38 AM,N,1,-73.96497344970702,40.80650329589844,-73.95683288574217,40.77765274047852,1,2.93,12.5,0.5,0.5,0.0,0.0,,0.3,13.8,1,1.0
2,02/01/2015 03:50:21 PM,02/01/2015 04:05:02 PM,N,1,-73.9588394165039,40.71673583984375,-73.99232482910156,40.725135803222656,1,2.81,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,2,1.0
2,03/11/2015 10:32:36 PM,03/11/2015 10:45:01 PM,N,1,-73.95273590087889,40.81066131591797,-73.988525390625,40.769161224365234,1,4.95,16.0,0.5,0.5,0.0,0.0,,0.3,17.3,2,1.0
1,01/03/2015 01:15:03 PM,01/03/2015 01:33:09 PM,N,1,-73.95083618164062,40.79109191894531,-73.94332122802734,40.833438873291016,1,3.8,15.0,0.0,0.5,2.0,0.0,,0.3,17.8,1,1.0
2,01/18/2015 10:22:06 AM,01/18/2015 10:33:43 AM,N,1,-73.89728546142578,40.815406799316406,-73.93714904785155,40.804393768310554,1,2.72,11.5,0.0,0.5,0.0,0.0,,0.3,12.3,2,1.0
2,04/30/2015 12:08:07 PM,04/30/2015 12:16:53 PM,N,1,-73.91069030761719,40.85546112060546,-73.92744445800781,40.86544799804688,1,1.87,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,2,1.0
2,07/31/2015 12:01:48 AM,07/31/2015 12:12:52 AM,N,1,-73.94554901123048,40.83320999145508,-73.9085464477539,40.848098754882805,1,3.2,12.0,0.5,0.5,0.0,0.0,,0.3,13.3,2,1.0
2,05/06/2015 10:18:14 AM,05/06/2015 10:26:41 AM,N,1,-73.94239807128906,40.8408088684082,-73.94268035888672,40.823760986328125,1,1.3,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2,1.0
2,08/27/2015 02:44:33 PM,08/27/2015 02:56:10 PM,N,1,-73.87100982666014,40.73402786254882,-73.88553619384764,40.75126647949219,1,1.62,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,2,1.0
1,10/20/2015 07:01:20 PM,10/20/2015 07:16:01 PM,N,1,-73.9393081665039,40.80541229248047,-73.95255279541014,40.76544570922852,1,3.6,13.0,1.0,0.5,1.0,0.0,,0.3,15.8,1,1.0
2,07/09/2015 08:48:57 PM,07/09/2015 09:08:32 PM,N,1,-73.89051818847656,40.7490463256836,-73.9356689453125,40.75215530395508,1,3.27,14.5,0.5,0.5,0.0,0.0,,0.3,15.8,2,1.0
1,12/29/2015 04:21:35 AM,12/29/2015 04:25:42 AM,N,1,-73.93242645263672,40.79998016357422,-73.94071197509764,40.81414413452149,1,1.4,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1.0
2,11/26/2015 04:27:06 PM,11/26/2015 04:40:25 PM,N,1,-73.93980407714844,40.79817199707031,-73.91742706298828,40.82737350463867,1,2.93,11.5,0.0,0.5,0.0,0.0,,0.3,12.3,2,1.0
2,08/28/2015 09:30:42 PM,08/28/2015 09:37:56 PM,N,1,-73.92314910888672,40.80914306640625,-73.90393829345702,40.812286376953125,1,1.33,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1.0
2,07/19/2015 04:34:09 AM,07/19/2015 04:43:45 AM,N,1,-74.00887298583984,40.64988327026367,-73.97017669677734,40.643741607666016,5,3.39,11.5,0.5,0.5,0.0,0.0,,0.3,12.8,2,1.0
2,12/07/2015 12:35:20 PM,12/07/2015 12:39:25 PM,N,1,-73.95133972167967,40.706104278564446,-73.96556091308594,40.71001815795898,1,0.73,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,2,1.0
2,12/05/2015 08:35:29 PM,12/05/2015 08:51:34 PM,N,1,-73.95825958251953,40.81539916992188,-73.9826889038086,40.77700424194336,1,5.49,18.5,0.5,0.5,0.0,0.0,,0.3,19.8,2,1.0
2,12/16/2015 10:47:47 PM,12/16/2015 10:53:46 PM,N,1,-73.95770263671875,40.717803955078125,-73.96846008300781,40.71091079711913,1,1.0,6.0,0.5,0.5,2.19,0.0,,0.3,9.49,1,1.0
2,06/16/2015 06:18:34 AM,06/16/2015 06:22:53 AM,N,1,-73.89619445800781,40.84676361083984,-73.90787506103516,40.85309982299805,1,0.9,5.5,0.0,0.5,1.58,0.0,,0.3,7.88,1,1.0
2,06/05/2015 09:36:07 PM,06/05/2015 09:44:57 PM,N,1,-73.86271667480467,40.68431091308594,-73.90357208251953,40.67788314819336,2,2.36,9.5,0.5,0.5,0.0,0.0,,0.3,10.8,2,1.0
